participant,condition,file,taskId,T_task_sec,N_cmds,N_actuations,n_devices_final,n_colors_required
13,SR,1_B.json,1a84f2f7-1739-41af-94ae-9a3c6677e61d,62.6025162,1,3,3,2
13,SR,1_B.json,386be10f-0686-4118-928d-b57f06593b2f,152.570572,2,6,3,2
13,SR,1_B.json,b3a3afee-32b8-4986-b9e8-16227e2c7bd9,348.812225,4,4,1,1
13,SR,1_B.json,25c3ccdb-26c7-4109-bcfe-730434f9caa9,159.822174,2,4,2,1
13,SR,1_B.json,4fd86244-384f-4a69-adc8-6fd13c16422c,329.857849,5,8,3,3
13,SR,1_B.json,19e8d0a8-02bf-4644-9732-e4190e13825e,238.5165,4,11,4,2
13,SR,1_B.json,cd873fbb-fcc1-43bd-8f04-bb3b2d716af4,289.322876,1,6,6,2
13,SR,1_B.json,95479aa7-9c98-49e4-817e-727302518dae,199.344757,3,10,4,1
13,SR,1_B.json,2a7b8c63-3775-4bbf-8841-7976b4ccf32f,235.892532,2,8,5,2
13,SR,1_B.json,4f145d76-f69f-4547-90a7-56281733ca5b,45.52027,1,2,2,2
13,SR,1_B.json,fcee09b7-efa4-4e87-956e-553ee7bb3648,39.7584038,1,2,2,1
13,SR,1_B.json,9e93766e-b621-4d6e-9927-173ac982bf3a,84.12878,2,3,2,2
14,P+SR,2_A.json,eee4a904-a6ad-4369-970f-b656e1f59f12,100.597847,1,2,2,2
14,P+SR,2_A.json,fe0ef0b0-c647-4b3a-b2f6-68a75133a566,27.1963673,1,1,1,1
14,P+SR,2_A.json,f548cabb-2a47-4399-a702-f76d5d1336df,30.1190357,1,2,2,1
14,P+SR,2_A.json,81c1a60b-c8ac-4a16-b831-1df68863e61e,40.10807,1,1,1,2
14,P+SR,2_A.json,0ebd3226-6abe-4b54-8d2f-6c4c8adc1978,30.5592213,1,2,2,2
14,P+SR,2_A.json,d58fe3c1-28a0-4e49-9e2f-e72569f6e61e,170.529068,5,15,4,3
14,P+SR,2_A.json,e2dc0c9a-3e6f-40a4-b8c5-7289c1efe296,18.8341389,1,1,1,1
14,P+SR,2_A.json,c87d383c-41db-4303-8615-9271bbf2465e,55.9302864,2,4,2,2
14,P+SR,2_A.json,8aeed698-e7ee-41ef-bfe7-56f37e2232ab,34.063694,1,3,3,3
14,P+SR,2_A.json,137e922c-0877-46af-a797-5a32df2edf5d,71.0810547,3,6,3,3
14,P+SR,2_A.json,7cbd6f03-54a0-426f-b4ea-d8e0ce58e276,42.60386,2,4,2,1
14,P+SR,2_A.json,2369c5c0-c4bb-4308-a9cd-05a64a69f91a,36.47168,1,6,6,2
14,Label,4_C.json,4e23551b-4fd6-49d6-bc2b-c11836bf2a24,51.9151764,3,7,2,2
14,Label,4_C.json,b594ae95-d981-4868-ae48-3f63eb87087a,23.0088444,1,4,4,2
14,Label,4_C.json,3bc363f5-3c91-4c51-8139-93034b21f3a9,57.58491,3,3,1,1
14,Label,4_C.json,7612d934-759d-4a55-9a58-ef65940b7162,24.0278473,1,3,3,3
14,Label,4_C.json,fd995852-c28d-49e9-97b5-9774af3241c3,145.150848,4,19,7,3
14,Label,4_C.json,3d9e0045-08fb-4a50-b4e5-e4b24c3554c9,18.6438885,1,2,2,1
14,Label,4_C.json,1ff814e6-7f85-4e81-ad9f-9aababb20e6d,186.325256,9,21,4,2
