participant,condition,taskId,T_task_sec,logT_task,N_cmds,N_actuations,n_devices_final,n_colors_required,avg_cmd_time
11,Label,d58fe3c1-28a0-4e49-9e2f-e72569f6e61e,73.9090652,4.302835488901901,4,11,4,3,18.4772663
11,Label,c87d383c-41db-4303-8615-9271bbf2465e,48.51194,3.8818099532117536,3,4,2,2,16.170646666666666
11,Label,8aeed698-e7ee-41ef-bfe7-56f37e2232ab,49.956852,3.911159672863811,3,6,3,3,16.652283999999998
11,Label,2369c5c0-c4bb-4308-a9cd-05a64a69f91a,57.2309837,4.04709542481077,2,9,6,2,28.61549185
11,Label,137e922c-0877-46af-a797-5a32df2edf5d,57.0331726,4.043633073991116,4,7,3,3,14.25829315
12,SR,2d0b42ad-6703-463c-81b3-4ee4d0c8b347,32.7313232,3.4883325154380427,1,1,1,1,32.7313232
12,SR,bee10050-f98c-456a-a684-4435ee88ef00,149.36937,5.006422231598906,2,5,3,3,74.684685
12,SR,c78550a2-290e-4b94-98db-961c2110c668,80.22805,4.384873204347418,2,6,4,2,40.114025
12,SR,40573e58-0087-4bb3-9ed7-d18a24a35b78,235.275,5.460755042744852,2,12,10,3,117.6375
12,SR,b1e13b56-4030-40b3-a8c7-fbc4554e6c18,207.92926,5.337197925701659,4,14,3,2,51.982315
12,SR,7aeefa77-f398-4a26-b615-e50c4d05ba64,174.739655,5.16329718050609,5,6,2,2,34.947931
12,SR,09ff7f59-f6d6-4c54-9955-f1b4bfd11225,134.838547,4.904078114573598,1,1,1,1,134.838547
12,SR,2e919b0d-6d84-4641-a535-930a7ca6c8b7,133.856979,4.896771909062829,3,6,3,3,44.618992999999996
12,SR,79dc7e7b-d1c7-4237-908d-f541b20406d4,81.71896,4.40328604348567,2,2,1,1,40.85948
12,SR,ae59cd40-20ff-4809-8cbb-87c7cc41665c,95.3121643,4.557157444697167,2,6,4,2,47.65608215
12,SR,5dde3eac-8ee6-4821-99d4-f6e4ae5f7bd2,98.30206,4.588044983189899,3,8,3,2,32.76735333333333
12,P+SR,ff4748e2-cd97-45bb-bf2c-e5c9c33f78ac,34.049675,3.5278204877628916,1,3,3,1,34.049675
12,P+SR,3bc363f5-3c91-4c51-8139-93034b21f3a9,52.9558258,3.969458090546622,1,1,1,1,52.9558258
12,P+SR,7612d934-759d-4a55-9a58-ef65940b7162,41.7490044,3.7316756043059405,1,3,3,3,41.7490044
12,P+SR,e81806f6-a4f2-4336-b77b-3407e101bc18,26.58157,3.2802181185083596,1,3,3,2,26.58157
12,P+SR,fd995852-c28d-49e9-97b5-9774af3241c3,53.9204636,3.987510064489938,3,12,6,3,17.973487866666666
12,P+SR,b0e9f035-c92f-4dc6-bd0a-a10b2941f902,46.36486,3.836541844728597,1,1,1,1,46.36486
12,P+SR,04f5e376-2845-485a-8cb1-c38e3858ff8a,52.94804,3.9693110553094244,1,4,4,2,52.94804
12,P+SR,e0153245-d5d9-449a-87f1-2a35d3239eef,32.9773636,3.495821374578946,1,6,6,2,32.9773636
12,P+SR,1ff814e6-7f85-4e81-ad9f-9aababb20e6d,79.59707,4.3769772831276414,2,8,4,2,39.798535
12,P+SR,3d9e0045-08fb-4a50-b4e5-e4b24c3554c9,21.849966,3.0841993654763153,1,2,2,1,21.849966
12,P+SR,b594ae95-d981-4868-ae48-3f63eb87087a,25.0977974,3.222780089299172,1,4,4,2,25.0977974
12,P+SR,4e23551b-4fd6-49d6-bc2b-c11836bf2a24,62.1901,4.130195823090064,3,6,2,2,20.730033333333335
12,Pointing,fcee09b7-efa4-4e87-956e-553ee7bb3648,33.545948,3.5129160811610656,1,2,2,1,33.545948
12,Pointing,cd873fbb-fcc1-43bd-8f04-bb3b2d716af4,45.8063622,3.824422994136424,2,9,6,2,22.9031811
12,Pointing,95479aa7-9c98-49e4-817e-727302518dae,20.726881,3.0314314568546723,1,3,3,1,20.726881
12,Pointing,19e8d0a8-02bf-4644-9732-e4190e13825e,29.4045048,3.3811478870967586,2,6,4,2,14.7022524
12,Pointing,b3a3afee-32b8-4986-b9e8-16227e2c7bd9,22.4515553,3.1113598901850623,1,1,1,1,22.4515553
